kg_rad_per_um,kg_over_kD,domain_length_um,grid_size,dx_um,dx_normalized,m,A1_linearized,A1_nonlinear,R_K,R_K_minus_one,A2_over_A1_nonlinear,A3_over_A1_nonlinear,A4_over_A1_nonlinear,A5_over_A1_nonlinear,delta_phase_rad,relative_L2_error,residual_rms_tolerance,residual_max_tolerance,nonlinear_iterations,nonlinear_residual_rms,nonlinear_residual_max
1.0,0.2334870058280853,6.283185307179586,512,0.01227184630308513,0.05255901183691908,0.2,0.04428216482771111,0.04473616806965258,1.0102525078371365,0.010252507837136493,0.08769652877909791,0.007319958362006688,0.0006029556321569047,5.010456049782481e-05,0.0,0.08949503203740843,1e-12,1e-11,3,1.3430371983942633e-15,4.5775015722338e-15
1.0,0.2334870058280853,6.283185307179586,512,0.01227184630308513,0.05255901183691908,0.4,0.08856432965542221,0.09244204233642178,1.043784136300547,0.043784136300546894,0.18122393771591416,0.03125805221563898,0.005320266671252972,0.0009134759398596063,0.0,0.1969627587737683,1e-12,1e-11,3,4.052135576393889e-15,1.1334683192032458e-14
1.0,0.2334870058280853,6.283185307179586,512,0.01227184630308513,0.05255901183691908,0.6,0.13284649448313335,0.14769985794039442,1.1118084712363028,0.11180847123630278,0.28958149209603523,0.07980652906384324,0.021700575916858186,0.005951730863276228,0.0,0.3530741839119474,1e-12,1e-11,3,2.001037249816923e-13,5.234788297281412e-13
1.0,0.2334870058280853,6.283185307179586,512,0.01227184630308513,0.05255901183691908,0.8,0.17712865931084443,0.2218337108671654,1.2523874551428054,0.25238745514280536,0.43500974652243835,0.18004487473147426,0.07349501313101184,0.030250289383574224,-4.440892098500626e-16,0.6492821181607782,1e-12,1e-11,4,5.644308884322582e-15,2.1121993043493603e-14
1.0,0.2334870058280853,6.283185307179586,512,0.01227184630308513,0.05255901183691908,0.95,0.21034028293162776,0.32312219847127455,1.5361879045123616,0.5361879045123616,0.6335829583595537,0.38142045766148786,0.22611039319216578,0.13498750441194915,0.0,1.3295953020812878,1e-12,1e-11,4,6.8310785277693696e-15,2.970713952610282e-14
1.5,0.35023050874212797,4.1887902047863905,512,0.008181230868723419,0.03503934122461272,0.01,0.003119571007420591,0.0031196503180602733,1.0000254235725021,2.542357250212568e-05,0.0038107936674491014,1.4052164650482713e-05,5.3499456647655296e-08,2.1314442189210226e-10,0.0,0.003811001263357567,1e-12,1e-11,2,3.236733337832764e-13,4.587082124730968e-13
1.5,0.35023050874212797,4.1887902047863905,512,0.008181230868723419,0.03503934122461272,0.02,0.006239142014841178,0.006239776597079413,1.0001017098563754,0.00010170985637536489,0.007622168066935704,5.621719771588615e-05,4.2769659668685434e-07,3.3988410645547865e-09,4.440892098500626e-16,0.007623829149548132,1e-12,1e-11,3,4.2640315543727325e-16,1.2462903972720873e-15
1.5,0.35023050874212797,4.1887902047863905,512,0.008181230868723419,0.03503934122461272,0.05,0.01559785503710295,0.015607781023002629,1.0006363686465907,0.0006363686465906682,0.019065595389065743,0.00035173152405319655,6.693403245659107e-06,1.3304868852338192e-07,0.0,0.0190915843591208,1e-12,1e-11,3,8.695333788315671e-16,2.563921297493721e-15
1.5,0.35023050874212797,4.1887902047863905,512,0.008181230868723419,0.03503934122461272,0.1,0.0311957100742059,0.03127542379195332,1.0025552781955533,0.0025552781955533455,0.038204227776377546,0.0014123021930671886,5.385356580621123e-05,2.145000037542478e-06,0.0,0.03841313446720606,1e-12,1e-11,3,1.9758760405696396e-15,1.0356732832450533e-14
1.5,0.35023050874212797,4.1887902047863905,512,0.008181230868723419,0.03503934122461272,0.2,0.0623914201484118,0.06303915775005572,1.0103818377607552,0.010381837760755186,0.07700419163257136,0.005737328732168189,0.00044091882726305563,3.539368148889108e-05,-4.440892098500626e-16,0.07870827245407715,1e-12,1e-11,3,3.797740470047921e-15,1.427243739859918e-14
1.5,0.35023050874212797,4.1887902047863905,512,0.008181230868723419,0.03503934122461272,0.4,0.12478284029682357,0.1303204915566561,1.044378307519367,0.04437830751936711,0.15918186578014984,0.024510938795570942,0.003892268065405612,0.0006455479434165364,-4.440892098500626e-16,0.17401000420343748,1e-12,1e-11,3,1.123609624244031e-13,2.20646417803394e-13
1.5,0.35023050874212797,4.1887902047863905,512,0.008181230868723419,0.03503934122461272,0.6,0.18717426044523539,0.20843060837350563,1.1135644819843675,0.11356448198436753,0.25454792587770403,0.0626418555171654,0.015891448803111715,0.0042098529305389975,0.0,0.3137622195687514,1e-12,1e-11,4,1.1675378703176239e-14,3.9848332966663236e-14
1.5,0.35023050874212797,4.1887902047863905,512,0.008181230868723419,0.03503934122461272,0.8,0.24956568059364714,0.31388236706721073,1.2577144674723388,0.25771446747233884,0.3830708575649136,0.14165353932541744,0.053943497639699,0.021441616067790777,-4.440892098500626e-16,0.5794518139063156,1e-12,1e-11,4,1.916028737007074e-14,8.473777235451507e-14
1.5,0.35023050874212797,4.1887902047863905,512,0.008181230868723419,0.03503934122461272,0.95,0.296359245704956,0.46130246650035833,1.5565651255558046,0.5565651255558046,0.5608005355208251,0.3019904889343605,0.16692140899648994,0.09616351045352652,4.440892098500626e-16,1.1814002242270192,1e-12,1e-11,4,2.5316699237383472e-14,1.216249323476859e-13
2.0,0.4669740116561706,3.141592653589793,512,0.006135923151542565,0.02627950591845954,0.01,0.00383364963627476,0.0038337490575931577,1.0000259338562025,2.5933856202531302e-05,0.0033573357366636493,1.154824592606692e-05,4.2861751474353856e-08,1.691666190836706e-10,-4.440892098500626e-16,0.0033575428261393013,1e-12,1e-11,3,3.8315981185483773e-16,1.16643890726853e-15
2.0,0.4669740116561706,3.141592653589793,512,0.006135923151542565,0.02627950591845954,0.02,0.007667299272549517,0.00766809476686464,1.0001037515671223,0.00010375156712227884,0.0067151868776302885,4.6200022636732825e-05,3.4297204978965237e-07,2.7074738525353974e-09,0.0,0.006716843884486812,1e-12,1e-11,3,6.922886330572019e-16,2.2425637735690174e-15
