N,carrier_gain_difference,carrier_power_balance_error,carrier_separation_quality,converged,dx_um,fixture,geometry,harmonic_1_magnitude,harmonic_1_phase_rad,harmonic_1_relative_to_K,harmonic_1_resolution,harmonic_2_magnitude,harmonic_2_phase_rad,harmonic_2_relative_to_K,harmonic_2_resolution,harmonic_3_magnitude,harmonic_3_phase_rad,harmonic_3_relative_to_K,harmonic_3_resolution,launch_attenuation,linear_response_rms,m,material_abs_L2_vs_linearized,material_max_abs_vs_linearized,material_rel_L2_vs_linearized,material_rel_L2_vs_reduced_linearized,model,optical_rel_L2_vs_linearized,output_intensity_rel_L2_vs_linearized,periodic_fundamental_bin_offsets,periodic_fundamental_commensurate,periodic_fundamental_mode_components,points_per_2K,points_per_3K,points_per_K,power_drift,pump_delta_power_normalized,pump_gain,pump_power_input_normalized,pump_power_output_normalized,reference_intensity,resolution_2K,resolution_3K,resolution_K,runtime_s,signal_delta_power_normalized,signal_gain,signal_power_input_normalized,signal_power_output_normalized,study,total_power_mW
1024,,,,True,0.1953125,broad_beam,x,0.11311290211592182,1.5707963267948966,1.0,resolved,5.3159085953172474e-18,1.3654009376051293,4.699648312328977e-17,resolved,2.0361204447579537e-16,-1.5818456008742654,1.8000779810876663e-15,marginal,none,0.159965800251717,0.5,0.030305910001117903,0.05596338194961059,0.1894524326664041,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",5.12,3.4133333333333336,10.24,,,,,,1.01,resolved,marginal,resolved,0.053680542012443766,,,,,frozen_intensity_material,2.0
1024,,,,True,0.1953125,broad_beam,x,0.11922882229878362,1.5707963267948966,1.0,resolved,5.685927195054403e-18,1.65670873132047,4.7689200357994404e-17,resolved,1.8901753351751827e-16,-1.5729473236925886,1.5853342327230773e-15,marginal,none,0.159965800251717,0.5,0.030305910001117903,0.05596338194961059,0.1894524326664041,0.0540691651301903,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",5.12,3.4133333333333336,10.24,,,,,,1.01,resolved,marginal,resolved,0.11084624999784864,,,,,frozen_intensity_material,2.0
1024,,,,True,0.1953125,broad_beam,x,0.05755443737650745,1.5707963267948966,1.0,resolved,0.004253777874983887,-1.5707963267948966,0.0739087734826888,resolved,0.00039594980888392917,1.5707963267948966,0.006879570488956735,marginal,none,0.0799829001258585,0.25,0.006204730338500039,0.010473279673963096,0.07757571091741387,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",5.12,3.4133333333333336,10.24,,,,,,1.01,resolved,marginal,resolved,0.2614530840073712,,,,,frozen_intensity_material,2.0
1024,,,,True,0.1953125,broad_beam,x,0.05655645105796091,1.5707963267948966,1.0,resolved,8.149566296525186e-19,1.5042281630190728,1.4409614012331224e-17,resolved,1.0003815913159686e-16,-1.5688996955935126,1.7688195998909915e-15,marginal,none,0.0799829001258585,0.25,0.006204730338500039,0.010473279673963096,0.07757571091741387,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",5.12,3.4133333333333336,10.24,,,,,,1.01,resolved,marginal,resolved,0.04797087499173358,,,,,frozen_intensity_material,2.0
1024,,,,True,0.1953125,broad_beam,x,0.05961441114939181,1.5707963267948966,1.0,resolved,1.580482678012436e-19,-0.5404195002705842,2.651175525414143e-18,resolved,9.441480485879948e-17,-1.5756767875789441,1.583758071889681e-15,marginal,none,0.0799829001258585,0.25,0.006204730338500039,0.010473279673963096,0.07757571091741387,0.05406916513018987,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",5.12,3.4133333333333336,10.24,,,,,,1.01,resolved,marginal,resolved,0.10939083300763741,,,,,frozen_intensity_material,2.0
1024,,,,True,0.1953125,broad_beam,x,0.028399755737012075,1.5707963267948966,1.0,resolved,0.001036446553349439,-1.5707963267948963,0.03649491083469731,resolved,4.764597229858097e-05,1.570796326794894,0.0016776895104237183,marginal,none,0.03999145006292925,0.125,0.0014773408726682278,0.0023118902844381367,0.03694141798668542,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",5.12,3.4133333333333336,10.24,,,,,,1.01,resolved,marginal,resolved,0.2568950420245528,,,,,frozen_intensity_material,2.0
1024,,,,True,0.1953125,broad_beam,x,0.028278225528980457,1.5707963267948966,1.0,resolved,2.15485181781494e-18,1.5707963267948966,7.620180465731758e-17,resolved,5.0236093279677546e-17,-1.5675590008142255,1.776493833681111e-15,marginal,none,0.03999145006292925,0.125,0.0014773408726682278,0.0023118902844381367,0.03694141798668542,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",5.12,3.4133333333333336,10.24,,,,,,1.01,resolved,marginal,resolved,0.04597154099610634,,,,,frozen_intensity_material,2.0
1024,,,,True,0.1953125,broad_beam,x,0.029807205574695905,1.5707963267948966,1.0,resolved,2.169928468639583e-18,1.533313890103235,7.279878897744411e-17,resolved,4.7150100931128007e-17,-1.5768324707886132,1.5818356676532913e-15,marginal,none,0.03999145006292925,0.125,0.0014773408726682278,0.0023118902844381367,0.03694141798668542,0.05406916513019031,full_transverse_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",5.12,3.4133333333333336,10.24,,,,,,1.01,resolved,marginal,resolved,0.1087115420086775,,,,,frozen_intensity_material,2.0
1024,,,,True,0.1953125,broad_beam,x,0.014154207463707345,1.5707963267948966,1.0,resolved,0.00025749038095196635,-1.5707963267948968,0.018191790788159263,resolved,5.900680537611969e-06,1.570796326794919,0.0004168852655821134,marginal,none,0.01999572503146463,0.0625,0.0003648670723629147,0.000544665272454746,0.018247253939966908,,reduced_nonlinear,,,"[0.0, 0.0]",True,"[100.0, 0.0]",5.12,3.4133333333333336,10.24,,,,,,1.01,resolved,marginal,resolved,0.255893166991882,,,,,frozen_intensity_material,2.0
1024,,,,True,0.1953125,broad_beam,x,0.01413911276449023,1.5707963267948966,1.0,resolved,1.0198276684941776e-18,1.5707963267948966,7.212812327626601e-17,resolved,2.4874396185880404e-17,-1.5766533734875252,1.7592614614653455e-15,marginal,none,0.01999572503146463,0.0625,0.0003648670723629147,0.000544665272454746,0.018247253939966908,,reduced_linearized,,,"[0.0, 0.0]",True,"[100.0, 0.0]",5.12,3.4133333333333336,10.24,,,,,,1.01,resolved,marginal,resolved,0.04658749999362044,,,,,frozen_intensity_material,2.0
