study,fixture,geometry,N,m,resolution_K,magnitude_nonlinear,phase_nonlinear_rad,real_nonlinear,imag_nonlinear,magnitude_linearized,phase_linearized_rad,real_linearized,imag_linearized,R_K,delta_phase_rad,second_harmonic_ratio_nonlinear,third_harmonic_ratio_nonlinear,pump_gain_nonlinear,pump_gain_linearized,signal_gain_nonlinear,signal_gain_linearized,carrier_separation_quality
frozen_intensity_material,broad_beam,x,512,0.03125,resolved,0.005968031932325124,1.5707963267948966,3.6543656015655782e-19,0.005968031932325124,0.005966456169994262,1.5707963267948966,3.6534007254182245e-19,0.005966456169994262,1.0002641035626452,0.0,0.010863173466640418,,,,,,
frozen_intensity_material,broad_beam,x,512,0.0625,resolved,0.011945538454943887,1.5707963267948966,7.314532716469325e-19,0.011945538454943887,0.01193291233998853,1.5707963267948966,7.306801450836454e-19,0.01193291233998853,1.001058091654042,0.0,0.021742944039431406,,,,,,
frozen_intensity_material,broad_beam,x,512,0.125,resolved,0.02396748070788409,1.5707963267948966,1.4675849266268096e-18,0.02396748070788409,0.023865824679977055,1.5707963267948966,1.4613602901672902e-18,0.023865824679977055,1.004259481047488,0.0,0.043619682752787464,,,,,,
frozen_intensity_material,broad_beam,x,512,0.25,resolved,0.04856646394186444,1.5707963267948966,2.9738382306154813e-18,0.04856646394186444,0.04773164935995411,1.5707963267948966,2.9227205803345804e-18,0.04773164935995411,1.0174897493194677,0.0,0.08834361532232253,,,,,,
frozen_intensity_material,broad_beam,x,512,0.5,resolved,0.10296730652616506,1.5707963267948966,6.3049291177046206e-18,0.10296730652616506,0.09546329871990825,1.5707963267948966,5.845441160669163e-18,0.09546329871990825,1.0786062068551996,0.0,0.18681066562917084,,,,,,
frozen_intensity_material,broad_beam,x,1024,0.03125,resolved,0.007071440231340058,1.5707963267948966,4.3300083223362105e-19,0.007071440231340058,0.007069556382245117,1.5707963267948966,4.3288547974541123e-19,0.007069556382245117,1.0002664734522342,0.0,0.009088990395624143,0.00010406424812824497,,,,,
frozen_intensity_material,broad_beam,x,1024,0.0625,resolved,0.014154207463707345,1.5707963267948966,8.666952432448388e-19,0.014154207463707345,0.01413911276449023,1.5707963267948966,8.657709594908223e-19,0.01413911276449023,1.0010675846121706,0.0,0.018191790788159263,0.0004168852655821134,,,,,
frozen_intensity_material,broad_beam,x,1024,0.125,resolved,0.028399755737012075,1.5707963267948966,1.738983497994926e-18,0.028399755737012075,0.028278225528980457,1.5707963267948966,1.7315419189816444e-18,0.028278225528980457,1.0042976603290426,0.0,0.03649491083469731,0.0016776895104237183,,,,,
frozen_intensity_material,broad_beam,x,1024,0.25,resolved,0.05755443737650745,1.5707963267948966,3.524192875493332e-18,0.05755443737650745,0.05655645105796091,1.5707963267948966,3.4630838379632883e-18,0.05655645105796091,1.017645844105808,0.0,0.0739087734826888,0.006879570488956735,,,,,
frozen_intensity_material,broad_beam,x,1024,0.5,resolved,0.122081596197671,1.5707963267948966,7.475341800913875e-18,0.122081596197671,0.11311290211592182,1.5707963267948966,6.926167675926577e-18,0.11311290211592182,1.0792897531048915,0.0,0.15625451904168353,0.030723080261050945,,,,,
